Ativo,Setor,Cotacao,Min_52_sem,Max_52_sem,Valor_de_mercado,Nro_Acoes,Patrim_Liq,Receita_Liquida_12m,Receita_Liquida_3m,Lucro_Liquido_12m,Lucro_Liquido_3m,pl,dy,pvp,roe,LPA,VPA
ABEV3,Bebidas,12.1,11.77,14.89,190621000000.0,15753800000.0,78969300000.0,79736900000.0,19989200000.0,14501900000.0,4387660000.0,13.14,0.0603,2.41,0.18359999999999999,0.92,5.01
B3SA3,Serviços Financeiros Diversos,11.14,10.83,14.82,62902000000.0,5646500000.0,20273500000.0,9921250000.0,2493570000.0,4131930000.0,915543000.0,15.22,0.0409,3.1,0.20379999999999998,0.73,3.59
ELET3,Energia Elétrica,37.63,32.78,43.99,86816200000.0,2307100000.0,112333000000.0,37158900000.0,9922110000.0,4549770000.0,892032000.0,19.08,0.0,0.77,0.0405,1.97,48.69
GGBR4,Siderurgia e Metalurgia,18.6,17.06,23.4,39217700000.0,2108480000.0,49059000000.0,68916400000.0,14715500000.0,7501560000.0,577946000.0,5.23,0.0677,0.8,0.15289999999999998,3.56,23.27
ITSA4,Intermediários Financeiros,9.66,7.33,10.67,99769900000.0,10328100000.0,82952000000.0,7383000000.0,1948000000.0,13466000000.0,2984000000.0,7.41,0.0885,1.2,0.1623,1.3,8.03
PETR4,"Petróleo, Gás e Biocombustíveis",42.15,19.34,42.15,549826000000.0,13044500000.0,380441000000.0,511994000000.0,134258000000.0,124606000000.0,31043000000.0,4.41,0.1041,1.45,0.3275,9.55,29.16
RENT3,Diversos,50.55,48.74,68.96,54184000000.0,1071890000.0,25388900000.0,28902300000.0,7908500000.0,1805570000.0,705802000.0,30.01,0.0298,2.13,0.0711,1.68,23.69
SUZB3,Madeira e Papel,58.9,38.83,65.23,76812600000.0,1304120000.0,44692800000.0,39755600000.0,10371500000.0,14084800000.0,4507340000.0,5.45,0.020099999999999996,1.72,0.3151,10.8,34.27
VALE3,Mineração,63.9,56.77,74.08,290043000000.0,4539010000.0,187211000000.0,206116000000.0,41891000000.0,38710000000.0,8291000000.0,7.49,0.1094,1.55,0.20679999999999998,8.53,41.24
WEGE3,Máquinas e Equipamentos,39.36,31.12,41.02,165206000000.0,4197320000.0,17342100000.0,32503600000.0,8561280000.0,5731670000.0,1744930000.0,28.82,0.0176,9.53,0.33049999999999996,1.37,4.13
SAPR11,Água e Saneamento,25.97,17.97,29.39,7849200000.0,1511210000.0,9744200000.0,6292740000.0,1696970000.0,1503360000.0,364821000.0,5.22,0.0584,0.81,0.1543,0.99,6.45
BBAS3,Intermediários Financeiros,27.55,19.26,29.29,157884000000.0,5730830000.0,163638000000.0,,,33614900000.0,8779390000.0,4.7,0.08439999999999999,0.96,0.2054,5.87,28.55
